Struman List Rating Data,,,,,,,,
Structure Type : Bridge,,,,,,,,
,,,,,,,,
Structure Number,Structure Name,Structure Type,Inspection Date,Inspection Item,Position,D,E,R
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,08. Surfacing,G0,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,09. Superstructure Drainage,G0,2,2,2
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,10. Kerbs / Sidewalks,G0,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,11. Parapet,G0,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,12. Pier Protection Works,P1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,13. Pier Foundations,P1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,14. Piers & Columns,P1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,15. Bearings,P1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,15. Bearings,A1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,15. Bearings,A2,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,16. Support Drainage,P1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,16. Support Drainage,A1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,16. Support Drainage,A2,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,17. Expansion Joints,P1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,17. Expansion Joints,A1,1,1,1
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,17. Expansion Joints,A2,1,1,1
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,18. Longitudinal Members,S1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,18. Longitudinal Members,S2,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,19. Transverse Members,S1,X,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,19. Transverse Members,S2,X,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,20. Decks and Slabs,S1,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,20. Decks and Slabs,S2,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,11/10/2012,21. Miscellaneous Items,G0,0,0,0
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,01. Approach Embankment,A1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,01. Approach Embankment,A2,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,02. Guardrail,G0,2,1,2
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,03. Waterway,G0,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,04. Approach Embankment Protection Works,A1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,04. Approach Embankment Protection Works,A2,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,05. Abutment Foundations,A1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,05. Abutment Foundations,A2,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,06. Abutments,A1,2,1,2
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,06. Abutments,A2,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,07. Wing/ Retaining Walls,A1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,07. Wing/ Retaining Walls,A2,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,08. Surfacing,G0,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,09. Superstructure Drainage,G0,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,10. Kerbs / Sidewalks,G0,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,11. Parapet,G0,3,1,2
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,12. Pier Protection Works,P1,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,13. Pier Foundations,P1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,14. Piers & Columns,P1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,15. Bearings,P1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,15. Bearings,A1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,15. Bearings,A2,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,16. Support Drainage,P1,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,16. Support Drainage,A1,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,16. Support Drainage,A2,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,17. Expansion Joints,P1,2,1,2
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,17. Expansion Joints,A1,2,1,2
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,17. Expansion Joints,A2,2,1,2
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,18. Longitudinal Members,S1,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,18. Longitudinal Members,S2,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,19. Transverse Members,S1,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,19. Transverse Members,S2,X,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,20. Decks and Slabs,S1,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,20. Decks and Slabs,S2,0,,
P91_01N_B4729B,Isando Bridge,Bridge,08/06/2016,21. Miscellaneous Items,G0,X,,
P91_02N_B4183,unknown,Bridge,26/10/2012,01. Approach Embankment,A1,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,01. Approach Embankment,A2,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,02. Guardrail,G0,3,3,3
P91_02N_B4183,unknown,Bridge,26/10/2012,03. Waterway,G0,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,04. Approach Embankment Protection Works,A1,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,04. Approach Embankment Protection Works,A2,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,05. Abutment Foundations,A1,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,05. Abutment Foundations,A2,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,06. Abutments,A1,1,1,1
P91_02N_B4183,unknown,Bridge,26/10/2012,06. Abutments,A2,1,1,1
P91_02N_B4183,unknown,Bridge,26/10/2012,07. Wing/ Retaining Walls,A1,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,07. Wing/ Retaining Walls,A2,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,08. Surfacing,G0,2,1,1
P91_02N_B4183,unknown,Bridge,26/10/2012,09. Superstructure Drainage,G0,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,10. Kerbs / Sidewalks,G0,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,11. Parapet,G0,2,1,1
P91_02N_B4183,unknown,Bridge,26/10/2012,12. Pier Protection Works,P1,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,12. Pier Protection Works,P2,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,13. Pier Foundations,P1,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,13. Pier Foundations,P2,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,14. Piers & Columns,P1,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,14. Piers & Columns,P2,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,15. Bearings,P1,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,15. Bearings,P2,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,15. Bearings,A1,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,15. Bearings,A2,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,16. Support Drainage,P1,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,16. Support Drainage,P2,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,16. Support Drainage,A1,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,16. Support Drainage,A2,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,17. Expansion Joints,P1,2,2,2
P91_02N_B4183,unknown,Bridge,26/10/2012,17. Expansion Joints,P2,2,2,2
P91_02N_B4183,unknown,Bridge,26/10/2012,17. Expansion Joints,A1,2,2,2
P91_02N_B4183,unknown,Bridge,26/10/2012,17. Expansion Joints,A2,2,2,2
P91_02N_B4183,unknown,Bridge,26/10/2012,18. Longitudinal Members,S1,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,18. Longitudinal Members,S2,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,18. Longitudinal Members,S3,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,19. Transverse Members,S1,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,19. Transverse Members,S2,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,19. Transverse Members,S3,X,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,20. Decks and Slabs,S1,2,1,2
P91_02N_B4183,unknown,Bridge,26/10/2012,20. Decks and Slabs,S2,0,0,0
P91_02N_B4183,unknown,Bridge,26/10/2012,20. Decks and Slabs,S3,2,1,2
P91_02N_B4183,unknown,Bridge,26/10/2012,21. Miscellaneous Items,G0,0,0,0
P91_02N_B4183,unknown,Bridge,23/06/2016,01. Approach Embankment,A1,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,01. Approach Embankment,A2,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,02. Guardrail,G0,2,1,2
P91_02N_B4183,unknown,Bridge,23/06/2016,03. Waterway,G0,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,04. Approach Embankment Protection Works,A1,3,1,1
P91_02N_B4183,unknown,Bridge,23/06/2016,04. Approach Embankment Protection Works,A2,3,1,1
P91_02N_B4183,unknown,Bridge,23/06/2016,05. Abutment Foundations,A1,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,05. Abutment Foundations,A2,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,06. Abutments,A1,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,06. Abutments,A2,1,1,1
P91_02N_B4183,unknown,Bridge,23/06/2016,07. Wing/ Retaining Walls,A1,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,07. Wing/ Retaining Walls,A2,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,08. Surfacing,G0,2,1,2
P91_02N_B4183,unknown,Bridge,23/06/2016,09. Superstructure Drainage,G0,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,10. Kerbs / Sidewalks,G0,3,1,2
P91_02N_B4183,unknown,Bridge,23/06/2016,11. Parapet,G0,1,1,1
P91_02N_B4183,unknown,Bridge,23/06/2016,12. Pier Protection Works,P1,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,12. Pier Protection Works,P2,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,13. Pier Foundations,P1,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,13. Pier Foundations,P2,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,14. Piers & Columns,P1,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,14. Piers & Columns,P2,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,15. Bearings,P1,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,15. Bearings,P2,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,15. Bearings,A1,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,15. Bearings,A2,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,16. Support Drainage,P1,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,16. Support Drainage,P2,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,16. Support Drainage,A1,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,16. Support Drainage,A2,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,17. Expansion Joints,P1,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,17. Expansion Joints,P2,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,17. Expansion Joints,A1,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,17. Expansion Joints,A2,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,18. Longitudinal Members,S1,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,18. Longitudinal Members,S2,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,18. Longitudinal Members,S3,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,19. Transverse Members,S1,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,19. Transverse Members,S2,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,19. Transverse Members,S3,X,,
P91_02N_B4183,unknown,Bridge,23/06/2016,20. Decks and Slabs,S1,2,1,2
P91_02N_B4183,unknown,Bridge,23/06/2016,20. Decks and Slabs,S2,0,,
P91_02N_B4183,unknown,Bridge,23/06/2016,20. Decks and Slabs,S3,2,1,2
P91_02N_B4183,unknown,Bridge,23/06/2016,21. Miscellaneous Items,G0,X,,
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,01. Approach Embankment,A1,1,4,1
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,01. Approach Embankment,A2,1,4,1
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,02. Guardrail,G0,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,03. Waterway,G0,2,3,2
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,04. Approach Embankment Protection Works,A1,1,1,1
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,04. Approach Embankment Protection Works,A2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,05. Abutment Foundations,A1,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,05. Abutment Foundations,A2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,06. Abutments,A1,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,06. Abutments,A2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,07. Wing/ Retaining Walls,A1,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,07. Wing/ Retaining Walls,A2,3,1,2
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,08. Surfacing,G0,3,2,2
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,09. Superstructure Drainage,G0,3,1,1
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,10. Kerbs / Sidewalks,G0,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,11. Parapet,G0,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,12. Pier Protection Works,P1,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,12. Pier Protection Works,P2,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,12. Pier Protection Works,P3,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,13. Pier Foundations,P1,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,13. Pier Foundations,P2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,13. Pier Foundations,P3,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,14. Piers & Columns,P1,3,1,2
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,14. Piers & Columns,P2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,14. Piers & Columns,P3,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,15. Bearings,P1,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,15. Bearings,P2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,15. Bearings,P3,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,15. Bearings,A1,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,15. Bearings,A2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,16. Support Drainage,P1,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,16. Support Drainage,P2,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,16. Support Drainage,P3,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,16. Support Drainage,A1,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,16. Support Drainage,A2,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,17. Expansion Joints,P1,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,17. Expansion Joints,P2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,17. Expansion Joints,P3,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,17. Expansion Joints,A1,3,4,3
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,17. Expansion Joints,A2,3,4,3
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,18. Longitudinal Members,S1,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,18. Longitudinal Members,S2,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,18. Longitudinal Members,S3,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,18. Longitudinal Members,S4,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,19. Transverse Members,S1,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,19. Transverse Members,S2,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,19. Transverse Members,S3,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,19. Transverse Members,S4,X,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,20. Decks and Slabs,S1,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,20. Decks and Slabs,S2,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,20. Decks and Slabs,S3,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,20. Decks and Slabs,S4,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,26/09/2012,21. Miscellaneous Items,G0,0,0,0
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,01. Approach Embankment,A1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,01. Approach Embankment,A2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,02. Guardrail,G0,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,03. Waterway,G0,2,4,1
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,04. Approach Embankment Protection Works,A1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,04. Approach Embankment Protection Works,A2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,05. Abutment Foundations,A1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,05. Abutment Foundations,A2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,06. Abutments,A1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,06. Abutments,A2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,07. Wing/ Retaining Walls,A1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,07. Wing/ Retaining Walls,A2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,08. Surfacing,G0,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,09. Superstructure Drainage,G0,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,10. Kerbs / Sidewalks,G0,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,11. Parapet,G0,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,12. Pier Protection Works,P1,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,12. Pier Protection Works,P2,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,12. Pier Protection Works,P3,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,13. Pier Foundations,P1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,13. Pier Foundations,P2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,13. Pier Foundations,P3,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,14. Piers & Columns,P1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,14. Piers & Columns,P2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,14. Piers & Columns,P3,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,15. Bearings,P1,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,15. Bearings,P2,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,15. Bearings,P3,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,15. Bearings,A1,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,15. Bearings,A2,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,16. Support Drainage,P1,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,16. Support Drainage,P2,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,16. Support Drainage,P3,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,16. Support Drainage,A1,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,16. Support Drainage,A2,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,17. Expansion Joints,P1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,17. Expansion Joints,P2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,17. Expansion Joints,P3,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,17. Expansion Joints,A1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,17. Expansion Joints,A2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,18. Longitudinal Members,S1,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,18. Longitudinal Members,S2,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,18. Longitudinal Members,S3,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,18. Longitudinal Members,S4,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,19. Transverse Members,S1,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,19. Transverse Members,S2,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,19. Transverse Members,S3,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,19. Transverse Members,S4,X,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,20. Decks and Slabs,S1,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,20. Decks and Slabs,S2,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,20. Decks and Slabs,S3,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,20. Decks and Slabs,S4,0,,
P95_01N_B1423,Groot River Bridge,Bridge,25/02/2016,21. Miscellaneous Items,G0,X,,
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,01. Approach Embankment,A1,1,3,1
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,01. Approach Embankment,A2,1,3,1
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,02. Guardrail,G0,3,2,3
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,03. Waterway,G0,0,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,04. Approach Embankment Protection Works,A1,1,2,1
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,04. Approach Embankment Protection Works,A2,3,3,3
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,05. Abutment Foundations,A1,0,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,05. Abutment Foundations,A2,0,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,06. Abutments,A1,0,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,06. Abutments,A2,0,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,07. Wing/ Retaining Walls,A1,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,07. Wing/ Retaining Walls,A2,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,08. Surfacing,G0,0,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,09. Superstructure Drainage,G0,3,2,2
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,10. Kerbs / Sidewalks,G0,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,11. Parapet,G0,2,1,1
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,12. Pier Protection Works,P1,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,12. Pier Protection Works,P2,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,12. Pier Protection Works,P3,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,12. Pier Protection Works,P4,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,12. Pier Protection Works,P5,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,12. Pier Protection Works,P6,X,0,0
P95_01N_B4294,Railway & River Bridge,Bridge,16/10/2012,12. Pier Protection Works,P7,X,0,0
